sr_returned_date_sk|sr_return_time_sk|sr_item_sk|sr_customer_sk|sr_cdemo_sk|sr_hdemo_sk|sr_addr_sk|sr_store_sk|sr_reason_sk|sr_ticket_number|sr_return_quantity|sr_return_amt|sr_return_tax|sr_return_amt_inc_tax|sr_fee|sr_return_ship_cost|sr_refunded_cash|sr_reversed_charge|sr_store_credit|sr_net_loss
|45399|270|1882|144936|||1|3|2771|3|161.04||165.87|67.24|67.62|51.53|||139.69
2452287|41869|1285|2487|11401|296|351|1|3|2772|62|1824.04|109.44|1933.48|72.52|260.40|255.36|988.26|580.42|442.36
2452342|44731|1791|2487|134896|3631|1966|1|3|2772|16|1222.08|0.00|1222.08|16.35|347.20|537.71|136.87|547.50|363.55
|45195|963|2487|||3960||1|2772|||0.00||||27.39|||
2452001|44813|325|4843|26800|6254|355|1|1|2774|19|282.91|14.14|297.05|50.42|99.75|31.12|55.39|196.40|164.31
2451898|39797|499|4843|160883|2042|2561|1|2|2774|23|171.81|15.46|187.27|67.33|100.74|120.26|31.44|20.11|183.53
2451665|36600|553|8285|65173|3533|3453|1|1|2775|28|105.56|4.22|109.78|40.60|105.56|78.11|0.27|27.18|150.38
2451304|37013|553|9118|6782|3728|561|1|2|2777|14|773.50|54.14|827.64|56.98|53.34|247.52|299.80|226.18|164.46
2451244|38096|217|9118|79004|6355|2466|1|2|2777|67|3489.36|69.78|3559.14|85.28|2885.69|1221.27|657.74|1610.35|3040.75
2451618|39250|478|9094|62593|1475|197|1|2|2780|6|141.42|7.07|148.49|44.68|36.66|16.97|24.89|99.56|88.41
2452242|42276|505|2346|57138|3765|4632|1|3|2782|2|37.42|0.74|38.16|23.02|11.48|3.74|9.76|23.92|35.24
2452395|58120|801|1058|33151|4164|2657|1|3|2784|27|433.35|13.00|446.35|84.37|463.59|403.01|12.43|17.91|560.96
2452378|48899|93|1058|185955|1719|396|1|1|2784|2|7.80|0.46|8.26|11.34|62.40|2.80|4.75|0.25|74.20
2451126|43582|1399|1789|59743|1504|4538|1|2|2785|22|471.24|18.84|490.08|91.69|106.92|457.10|2.54|11.60|217.45
2452674|33456|756|6210|113428|6806|2104|1|2|2786|10|461.20|32.28|493.48|15.06|291.80|147.58|6.27|307.35|339.14
2451930|51243|344|4901|41683|145|4967|1|2|2787|6|12.90|0.25|13.15|49.49|8.28|4.25|1.38|7.27|58.02
2452662|40177|999|9862|68869|5147|65|1|2|2788|57|508.44|5.08|513.52|92.02|51.87|167.78|180.54|160.12|148.97
2451331|39840|1028|2799|113227|4640|3853|1|1|2790|18|494.10|4.94|499.04|20.55|220.68|19.76|251.40|222.94|246.17
2451949|41404|601|3797|57156|6180|1284|1|2|2791|76|1466.04|29.32|1495.36|16.75|598.88|29.32|919.50|517.22|644.95
2452379|35936|95|7093|148879|1270|4108|1|3|2792|55|4402.75|220.13|4622.88|31.51|800.25|1805.12|2207.98|389.65|1051.89
2452398|40190|1677|7093|25344|1111|3478|1|2|2792|50|518.00|25.90|543.90|83.63|1324.50|103.60|360.52|53.88|1434.03
||291|7093|61577|430|1490|1||2792|17|451.18||487.27||||||895.59
2451162|59391|1357|317|25540|2013|2079|1|1|2794|49|951.58|9.51|961.09|49.84|624.26|285.47|99.91|566.20|683.61
2451252|60314|1420|317|104328|807|1893|1|1|2794|26|87.36|0.00|87.36|50.79|26.78|76.87|9.02|1.47|77.57
2451159|51045|31|317|14280|84|3655|1|2|2794|8|666.24|0.00|666.24|4.22|86.88|439.71|174.42|52.11|91.10
2451223|40598|763|317|32806|4507|855|1|3|2794|9|778.95|0.00|778.95|46.14|160.83|350.52|257.05|171.38|206.97
2451876|55141|1301|2613|72539|2225|2631|1|3|2796|51|4464.54|267.87|4732.41|54.31|3029.40|2723.36|52.23|1688.95|3351.58
2451853|53849|1085|8101|77618|1628|1685|1|2|2796|23|1931.08|0.00|1931.08|10.81|229.08|1139.33|356.28|435.47|239.89
2452421|30894|1092|9373|114110|653|2676|1|3|2797|17|652.46|52.19|704.65|59.17|141.78|228.36|419.85|4.25|253.14
2452276|59781|155|6121|162454|3750|4326|1|3|2798|1|58.88|4.71|63.59|53.71|0.61|28.26|8.26|22.36|59.03
2452330|37375|409|6121|124431|11|671|1|2|2798|72|7.20|0.21|7.41|40.34|105.12|5.97|0.73|0.50|145.67
2452323|42784|181|6121|152454|5100|3339|1|1|2798|29|3502.04|280.16|3782.20|76.11|1881.52|1190.69|1687.28|624.07|2237.79
2452640|53712|729|2406|119140|5766|2952|1|3|2799|1|32.17|0.64|32.81|14.84|35.56|32.17|0.00|0.00|51.04
2451524|31625|1498|4833|15672|265|3258|1|1|2804|80|4572.80|0.00|4572.80|89.39|1080.80|4344.16|34.29|194.35|1170.19
2451637|50663|1108|183|105450|3916|1382|1|2|2806|42|156.66|4.69|161.35|14.66|391.44|37.59|57.15|61.92|410.79
2452338||421|5076|32037|5562|2014|1|2|2807|40||60.22|2067.82|34.97|466.00||375.82|587.83|561.19
||769|8455|183470|5652|||1|2807|1||||62.45||26.07|||
2451215|44242|199|8856|60930|5193|2263|1|2|2808|58|3774.64|226.47|4001.11|84.86|0.00|2755.48|570.72|448.44|311.33
2452455|47163|1621|3432|72154|2711|2748|1|2|2809|19|875.33|52.51|927.84|72.93|815.67|630.23|129.90|115.20|941.11
2452586|37320|573|3457|76481|1265|3369|1|2|2810|60|378.00|7.56|385.56|49.13|186.60|90.72|103.42|183.86|243.29
2451480|60501|1454|7119|177001|5087|3980|1|3|2811|21|403.83|12.11|415.94|63.06|1762.11|113.07|63.96|226.80|1837.28
||1409||||||1|2812||4.40|0.22||||2.06|||
2452394|55243|1303|3472|119018|4293|1935|1|2|2812|17|908.82|63.61|972.43|96.77|306.00|790.67|12.99|105.16|466.38
2452395|59518|1175|3472|183910|2920|1043|1|1|2812|1|119.85|9.58|129.43|84.13|10.89|56.32|15.24|48.29|104.60
2451226||1142|5381|5731|||1||2813|55||540.27|||586.85|5402.76||1080.56|1167.96
2451343|33430|46|8341|180276|1233|3063|1|1|2814|74|3458.02|172.90|3630.92|31.56|1481.48|1106.56|423.26|1928.20|1685.94
2451194|44180|866|8341|52124|856|2948|1|1|2814|27|2379.51|214.15|2593.66|43.98|136.62|2236.73|38.55|104.23|394.75
2451111|49074|115|1791|17096|5531|3239|1|2|2816|23|1432.90|114.63|1547.53|67.80|531.30|587.48|811.60|33.82|713.73
2452119||907|4333|186682|6728||1|1|2817|||91.23|||1226.18||2319.09|509.07|
2452326||1055|||2501|3711|1||2818|25||8.32|424.57||167.75|0.00|||267.20
2451419|60800|553|1571|76025|4617|3969|1|3|2819|40|2854.00|114.16|2968.16|3.00|1167.20|627.88|756.88|1469.24|1284.36
2451443|41368|1720|1571|107029|1752|2915|1|3|2819|29|239.25|19.14|258.39|43.13|111.65|222.50|0.67|16.08|173.92
2451253|41662|794|8838|42075|5726|3217|1|1|2820|1|113.15|6.78|119.93|28.05|44.92|42.99|35.78|34.38|79.75
2452099|57466|1537|4215|189607|6644|3561|1|3|2821|76|1140.00|91.20|1231.20|22.06|877.04|285.00|444.60|410.40|990.30
2452175|60782|1513|4215|117529|5572|855|1|3|2821|18|1716.84|103.01|1819.85|30.04|1004.94|772.57|283.28|660.99|1137.99
2451171|36025|1778|2307|85361|6309|1610|1|1|2823|43|709.93|0.00|709.93|12.88|101.05|582.14|47.28|80.51|113.93
|47898|919||18596|3309|||3|2823|81||0.00|1940.76|11.16|1180.98|1377.93||202.62|1192.14
2451106|42991|217|8545|34785|2057|4809|1|3|2825|24|1268.40|50.73|1319.13|55.99|1300.08|367.83|558.35|342.22|1406.80
2451109|37886|334|8545|171190|6349|2115|1|1|2825|2|81.20|1.62|82.82|72.15|24.36|5.68|36.24|39.28|98.13
2451027|55165|908|8545|99802|248|1287|1|1|2825|18|236.34|14.18|250.52|98.00|103.86|217.43|7.18|11.73|216.04
2451114||896||||4294|||2825||1589.06|||||286.03||703.64|
2451276|31292|1105|8009|160420|875|1737|1|1|2826|53|3262.68|163.13|3425.81|80.78|446.79|424.14|113.54|2725.00|690.70
2451303|41457|187|8009|89099|5873|1847|1|2|2826|11|1027.73|61.66|1089.39|74.18|175.78|986.62|36.17|4.94|311.62
2452075||743||94320|||1|1|2829|||22.73|780.41|86.05||||111.39|288.54
2452113|50569|1795|2322|37043|5252|934|1|1|2829|1|29.05|0.00|29.05|44.30|4.84|18.88|5.49|4.68|49.14
2452017|45445|929|2322|53832|1106|67|1|2|2829|11|687.17|20.61|707.78|46.43|355.08|254.25|242.43|190.49|422.12
2451630|50322|643|7704|79481|4449|4497|1|3|2831|2|130.44|5.21|135.65|42.82|51.56|61.30|44.94|24.20|99.59
2451474|43198|1058|7704|125995|6387|2739|1|2|2831|50|1650.50|0.00|1650.50|36.68|875.50|1386.42|44.89|219.19|912.18
2450926|51935|541|2869|87229|769|4756|1|1|2833|7|198.66|3.97|202.63|22.37|215.95|178.79|12.91|6.96|242.29
2450856|58717|1784|9464|143128|6839|2503|||2833|4||||||97.79|||173.58
2452352|34506|1709|8848|79459|2549|2279|1|2|2834|62|995.10|79.60|1074.70|70.03|169.26|995.10|0.00|0.00|318.89
2452347|51380|1441|9686|29384|4479|3614|1|3|2835|9|876.42|43.82|920.24|10.95|241.74|867.65|0.61|8.16|296.51
2451163|52421|170|1545|13709|222|422|1|3|2836|43|65.36|3.92|69.28|29.81|459.67|18.30|26.82|20.24|493.40
2451270|57263|1094|592|61245|6378|1071|1|1|2836|21|9.87|0.59|10.46|3.30|21.00|5.52|0.26|4.09|24.89
2452546|31289|181|8534|98822|3901|253|1|3|2838|2|37.72|1.88|39.60|10.17|21.56|16.97|20.54|0.21|33.61
2452506|54547|1452|4055|77609|5130|44|1|1|2838|41|3117.64|0.00|3117.64|13.26|97.17|779.41|233.82|2104.41|110.43
2452537|57611|697|8534|65232|6405|3538|1|3|2838|17|958.97|38.35|997.32|11.52|191.76|853.48|26.37|79.12|241.63
2452174|55063|1163|9394|43259|5785|1278|1|3|2840|7|9.87|0.69|10.56|17.91|0.28|1.08|4.21|4.58|18.88
2451983|56297|31|756|108051|786|1448|1|1|2841|33|3780.15|0.00|3780.15|72.97|2077.02|2532.70|673.62|573.83|2149.99
2451988|58216|890|5620|172979|3116|293|1|2|2842|27|1179.09|58.95|1238.04|76.07|1357.83|848.94|102.34|227.81|1492.85
2452744|56112|1635|5460|87634|420|4246|1|3|2843|12|125.76|10.06|135.82|39.68|59.76|32.69|15.82|77.25|109.50
2452123|56017|1465|8845|124166|1327|4568|1|1|2845|59|1202.42|24.04|1226.46|65.10|1909.83|649.30|237.84|315.28|1998.97
2452283|48415|1397|4647|45366|7139|4185|1|2|2845|15|1352.85|94.69|1447.54|95.79|288.30|1312.26|20.29|20.30|478.78
2451277|44140|944|2978|||||1|2846|2|52.50||||29.72|19.95|25.71|6.84|59.49
2451319|60346|499|1967|112466|325|3704|1|3|2846|3|225.09|11.25|236.34|34.18|35.01|92.28|13.28|119.53|80.44
2452472|37607|864|9140|152465|1330|3355|1|1|2847|2|8.46|0.76|9.22|78.59|3.38|3.13|4.05|1.28|82.73
||660|1772|||||2|2849|3|3.15||3.27|56.60||||0.73|
2452561|54705|315|7840|75750|931|1712|1|1|2850|25|158.50|9.51|168.01|9.46|77.50|137.89|17.10|3.51|96.47
2452457|58642|1770|7840|33017|6640|1143|1|2|2850|14|49.28|2.95|52.23|4.36|31.78|45.83|2.17|1.28|39.09
2452404|29986|1003|6383||1968||1|1|2851|||73.11||20.86||1060.14|||342.93
2452375|38384|745|6383|75949|4984|3932|1|2|2851|53|241.68|21.75|263.43|75.89|514.63|166.75|37.46|37.47|612.27
2452547|31059|1224|1368|177779|3190|4481|1|2|2852|1|3.11|0.09|3.20|91.50|0.03|1.02|1.71|0.38|91.62
2451197|30532|1324|3959|106272|3118|491|1|3|2853|16|808.48|72.76|881.24|8.93|202.08|307.22|476.19|25.07|283.77
2451177|43151|205|3959|175390|89|508|1|1|2853|6|337.62|16.88|354.50|80.76|96.42|94.53|89.94|153.15|194.06
2452549|59214|204|9116|132256|5257|3531|1|2|2854|7|274.75|0.00|274.75|38.53|60.62|241.78|28.68|4.29|99.15
2452444|43763|1626|9116|53994|759|2164|1|3|2854|29|1012.97|10.12|1023.09|86.90|136.88|536.87|233.28|242.82|233.90
2452493|57274|559|2331|124671|418|38|1|3|2854|1|47.83|3.34|51.17|28.36|6.67|33.00|1.33|13.50|38.37
2452545|34505|1201|9116|76630|3041|4085|1|3|2854|89|623.00|49.84|672.84|77.80|311.50|112.14|459.77|51.09|439.14
2452767|59001|1206|1734|137225|3932|1752|1|3|2855|20|879.40|35.17|914.57|42.50|1150.00|562.81|269.10|47.49|1227.67
||411|5302|80048|6677|4499|1||2856||103.08|||||||14.94|118.85
2452311|46320|1501|5302|93076|6496|2389|1|1|2856|9|335.16|6.70|341.86|91.80|189.45|80.43|201.23|53.50|287.95
2452176|45721|941|8326|112893|6900|1587|1|3|2857|34|297.84|11.91|309.75|98.72|782.34|208.48|44.68|44.68|892.97
2452260|35592|1071|7085|69617|3702|4787|1|1|2857|3|318.84|19.13|337.97|49.93|91.08|63.76|30.60|224.48|160.14
2452416|29600|511|6130|51336|458|4253|1|1|2859|3|13.53|0.40|13.93|6.52|29.16|7.17|3.30|3.06|36.08
2452535|45668|733|6130|30353|1482|498|1|1|2859|19|1392.89|55.71|1448.60|22.35|352.26|543.22|484.31|365.36|430.32
2452779|48448|1653|5262|98415|2989|2683|1|3|2860|33|2536.38|25.36|2561.74|79.23|715.44|2358.83|122.50|55.05|820.03
2452688|41250|127|5262|65004|2004|2244|1|1|2860|23|338.56|27.08|365.64|76.96|302.91|284.39|14.08|40.09|406.95
2452257|29990|405|1343|108838|979|3473|1|2|2861|5|403.80|36.34|440.14|51.25|129.95|76.72|170.08|157.00|217.54
2452108|56857|533|1343|132498|7007|4243|1|1|2861|32|79.68|6.37|86.05|75.54|458.24|1.59|32.01|46.08|540.15
2452207|32499|11|1343|104276|1684|3765|1|1|2861|37|533.17|5.33|538.50|63.84|0.00|207.93|273.20|52.04|69.17
2451727|46410|1217|4072|14107|6509|3704|1|3|2862|40|46.80|0.46|47.26|61.41|12.80|28.54|6.20|12.06|74.67
2451364|40535|296|9839|127985|554|4676|1|3|2863|99|2065.14|185.86|2251.00|31.71|55.44|1631.46|186.48|247.20|273.01
2451334|29147|907|9839|127794|2418|3129|1|2|2863|45|525.15|31.50|556.65|81.78|242.10|346.59|64.28|114.28|355.38
2452364|33491|1673|4727|136815|5869|1156|1|2|2866|38|3657.12|109.71|3766.83|3.93|402.04|329.14|3128.30|199.68|515.68
2452226|55809|187|4727|80495|2077|1859|1|1|2866|4|287.80|5.75|293.55|80.86|41.52|31.65|46.10|210.05|128.13
2452336|30510|195|8793|50604|5262|2673|1|1|2866|42|4272.24|256.33|4528.57|84.08|1937.46|1068.06|608.79|2595.39|2277.87
2452351|45350|1225|4727|117102|6282|4295|1|2|2866|15|296.55|26.68|323.23|11.00|84.75|109.72|119.57|67.26|122.43
2452363|29173|15|4727|126383|3799|1768|1|2|2866|15|467.55|23.37|490.92|55.15|554.10|140.26|94.91|232.38|632.62
2452635|37165|831|5565|63573|2588|2076|1|3|2867|32|2179.20|43.58|2222.78|59.84|1880.00|43.58|1260.01|875.61|1983.42
|58521|1311||133114|||1||2867|57||10.82||38.54|1460.91|||99.59|
||211||90603|||||2868|1|27.26|0.00|27.26||||11.09||
2452165|30763|1499|569|99249|4872|2855|1|3|2869|3|132.60|1.32|133.92|77.11|51.18|87.51|33.36|11.73|129.61
2451963|48120|1009|4708|184383|298|4246|1|3|2870|1|4.04|0.16|4.20|82.30|1.34|2.50|0.33|1.21|83.80
2451331|39979|232|2382|178417|7029|448|1|1|2872|6|219.54|15.36|234.90|59.10|38.04|17.56|44.43|157.55|112.50
2451186|57812|1540|2231|8428|1486|2744|1|1|2873|3|247.62|7.42|255.04|78.57|0.00|183.23|34.77|29.62|85.99
2451275|46438|410|2231|152046|4559|1592|1|3|2873|36|257.04|23.13|280.17|19.79|1713.96|56.54|88.22|112.28|1756.88
2452793|53825|948|8610|156601|4050|2386|1|2|2874|65|6556.55|65.56|6622.11|54.88|93.60|983.48|2062.03|3511.04|214.04
2452621|47360|253|8610|130380|5716|699|1|3|2874|48|1713.60|68.54|1782.14|40.08|928.32|1388.01|195.35|130.24|1036.94
2451833|44023|55|5345|91348|5599|2123|1|2|2875|28|60.20|4.21|64.41|57.94|764.12|28.89|9.07|22.24|826.27
2452523|54975|609|8721|111683|2064|565|1|3|2876|71|10531.43|631.88|11163.31|78.38|5153.18|105.31|8340.89|2085.23|5863.44
2451214|39162|1651|3880|186860|7128|4803|1|3|2877|47|5680.89|113.61|5794.50|94.55|732.73|284.04|647.62|4749.23|940.89
2452277|28801|1569|2365|43533|494|182|1|1|2878|12|188.64|16.97|205.61|58.86|592.92|54.70|115.18|18.76|668.75
2451329|47354|445|8148|35933|7133|573|1|1|2879|55|1761.65|17.61|1779.26|66.12|2228.05|863.20|566.02|332.43|2311.78
2451210|54958|592|7042|56322|4722|962|1|3|2879|9|769.14|38.45|807.59|13.69|208.53|138.44|536.09|94.61|260.67
2452650|39364|487|1635|87542|2286|3703|1|1|2880|13|70.20|0.70|70.90|47.01|15.86|64.58|5.33|0.29|63.57
2452716|48400|636|1635|75176|3838|220|1|1|2880|93|2745.36|219.62|2964.98|60.47|2883.00|2278.64|228.69|238.03|3163.09
2452368|34917|959|7934|153888|3154|1747|1|3|2883|5|62.95|2.51|65.46|51.92|50.35|6.92|7.84|48.19|104.78
2452387|31319|681|7934|106554|1566|3018|1|2|2883|51|1362.72|81.76|1444.48|59.85|1252.05|286.17|592.10|484.45|1393.66
2452329|31673|865|969|59831|2213|2082|1|1|2883|21|1515.99|45.47|1561.46|12.54|343.14|1379.55|49.11|87.33|401.15
2451127|38316|13|9998|5888|5410|4685|1|2|2884|36|119.88|8.39|128.27|41.64|29.16|31.16|4.43|84.29|79.19
2452183|36142|13|5506|124912|6922|3285|1|2|2885|69|9341.22|373.64|9714.86|88.41|3846.06|4483.78|777.19|4080.25|4308.11
2451119|29958|248|669|68496|3396|1783|1|2|2886|14|968.24|0.00|968.24|20.51|268.94|503.48|139.42|325.34|289.45
2451186|46798|1240|5616|58955|603|1484|1|1|2886|33|1225.95|24.51|1250.46|8.94|106.59|281.96|443.67|500.32|140.04
|60966|116||||||2|2888|18|||||||0.11||
2451149|36842|1627|3634|168549|2691|2386|1|2|2888|41|80.77|7.26|88.03|68.73|24.60|6.46|41.61|32.70|100.59
2451044|55586|1075|3634|47375|1599|2903|1|1|2888|67|0.00|0.00|0.00|4.63|3951.66|0.00|0.00|0.00|3956.29
2451211|30028|1567|3634|63601|3320|3359|1|1|2888|50|1734.50|156.10|1890.60|17.70|648.00|815.21|174.66|744.63|821.80
2452576|39856|1645|5976|50048|576|2017|1|1|2889|24|281.76|11.27|293.03|11.44|88.56|273.30|7.10|1.36|111.27
2451575|40031|541|6992|40440|2527|4614|1|3|2891|14|343.70|17.18|360.88|80.11|439.32|268.08|6.04|69.58|536.61
2452654|59119|973|6280|180636|5010|4584|1|3|2892|22|2337.28|93.49|2430.77|13.82|472.34|2103.55|67.78|165.95|579.65
2452698|38089|397|3448|73926|5961|4716|1|3|2893|17|1431.06|71.55|1502.61|48.00|531.59|572.42|326.28|532.36|651.14
2451203|51625|872|4184|124145|426|3227|1|3|2894|36|1161.72|104.55|1266.27|49.31|430.92|917.75|134.18|109.79|584.78
2451801|50913|1400|192|18356|136|4196|1|3|2895|28|1965.88|39.31|2005.19|41.29|1107.96|727.37|421.09|817.42|1188.56
2451796|39659|421|192|7194|7136|4518|1|3|2895|4|30.04|0.90|30.94|26.61|63.12|13.51|1.65|14.88|90.63
2452643|37727|177|9897|26217|543|3309|1|3|2896|12|433.44|0.00|433.44|15.51|216.72|21.67|16.47|395.30|232.23
2452189|48729|1171|9670|||3385||2|2897||225.00||227.25|74.82||78.75||138.94|354.97
2452059|43529|353|8684|63464|2484|1984|1|3|2897|51|39.27|0.00|39.27|59.41|43.35|32.59|4.54|2.14|102.76
2451573|29472|1684|390|114797|3716|3762|1|3|2898|33|4163.61|333.08|4496.69|38.19|2160.84|291.45|2439.46|1432.70|2532.11
2452342|56224|445|2243|62977|6193|3042|1|1|2900|19|1089.65|87.17|1176.82|26.84|1362.11|860.82|123.56|105.27|1476.12
2452392|34294|921|1875|157365|2980|3515|1|3|2901|49|3539.76|212.38|3752.14|45.40|675.71|3398.16|111.86|29.74|933.49
2452251|33987|463|1875|124869|2802|3648|1|1|2901|4|14.44|0.57|15.01|66.72|19.28|12.85|0.34|1.25|86.57
2452334|44598|899|1875|183349|6417|3452|1|1|2901|33|98.34|1.96|100.30|1.94|32.34|54.08|15.49|28.77|36.24
2452203|30456|963|5678|170761|2538|1715|1|3|2902|27|88.29|1.76|90.05|39.97|61.56|52.09|25.34|10.86|103.29
2452173|55129|451|5678|17646|682|3278|1|3|2902|43|630.81|0.00|630.81|9.43|201.67|624.50|0.69|5.62|211.10
2451237|57297|1216|1568|38689|2210|3131|1|2|2903|9|221.31|15.49|236.80|42.67|254.52|134.99|57.83|28.49|312.68
2451194|44070|1700|1298|183432|1903|2374|1|2|2903|4|33.12|2.31|35.43|59.44|132.56|30.13|0.53|2.46|194.31
2452392|33368|1089|7305|174449|6299|2076|1|1|2904|4|92.64|1.85|94.49|51.24|1.44|8.33|54.80|29.51|54.53
2451203|29123|115|2354|85606|2660|3514|1|2|2905|5|67.05|0.67|67.72|37.49|71.45|63.02|0.16|3.87|109.61
2451105|30085|1030|2354|191750|4456|2435|1|1|2905|2|76.18|3.80|79.98|43.45|72.36|0.00|9.90|66.28|119.61
2450920|44072|661|6695|84345|1214|3116|1|1|2906|57|3298.02|131.92|3429.94|83.72|919.98|626.62|507.56|2163.84|1135.62
2451980|60192|1268|8277|183804|1648|1372|1|1|2907|1|43.62|0.00|43.62|49.73|5.34|12.64|17.34|13.64|55.07
2451887|51356|1376|8277|122158|5004|2290|1|3|2907|24|1039.20|83.13|1122.33|59.38|494.88|488.42|11.01|539.77|637.39
2451586|54551|1433|3630|12730|4468|2646|1|3|2908|20|666.20|46.63|712.83|3.94|607.40|153.22|230.84|282.14|657.97
2451284|45923|1123|1872|125182|604|4026|1|2|2910|32|580.48|5.80|586.28|31.95|522.24|458.57|17.06|104.85|559.99
2451298|29546|1714|2237|52529|1541|4440|1|3|2910|6|30.30|0.30|30.60|86.81|23.46|29.69|0.18|0.43|110.57
2451411|32062|490|1872|166407|5737|1354|1|2|2910|2|286.20|22.89|309.09|26.96|115.70|277.61|5.06|3.53|165.55
2451295|33458|500|7488|17618|1221|1511|1|1|2910|76|861.84|17.23|879.07|86.35|897.56|689.47|67.22|105.15|1001.14
2451373|40096|1226|1872|159571|3871|1084|1|3|2910|47|2916.35|29.16|2945.51|23.38|798.06|1545.66|836.12|534.57|850.60
2452641|51255|313|8802|2720|712|944|1|1|2911|29|896.68|62.76|959.44|83.83|1113.02|125.53|686.32|84.83|1259.61
2452403|31516|615|3564|164107|1927|1994|1|2|2913|37|44.40|3.55|47.95|17.38|578.68|43.95|0.40|0.05|599.61
2452348|37965|679|3564|23472|2967|2855|1|2|2913|16|125.60|3.76|129.36|81.80|145.92|16.32|97.25|12.03|231.48
2452349|39191|887|4329|111953|5637|4968|1|2|2914|51|791.52|47.49|839.01|22.02|584.97|506.57|253.60|31.35|654.48
2452537|43033|1488|6778|169915|5996|1757|1|2|2916|49|2363.27|189.06|2552.33|94.29|2095.73|1654.28|276.50|432.49|2379.08
2452384|49113|1584|6778|16095|281|2714|1|3|2916|21|694.05|34.70|728.75|58.61|651.63|492.77|26.16|175.12|744.94
2451839|46881|1142|5501|37797|6300|4523|1|3|2919|20|536.80|32.20|569.00|54.37|352.00|64.41|160.61|311.78|438.57
2451798|59017|695|8138|27828|1196|4531|1|2|2919|32|144.64|8.67|153.31|69.23|178.56|28.92|64.80|50.92|256.46
2451678|49010|1726|5949|167014|3497|533|1|1|2920|21|165.48|6.61|172.09|0.50|45.15|54.60|29.93|80.95|52.26
2451659|47342|1556|5949|109629|4613|684|1|1|2920|7|9.59|0.00|9.59|46.60|15.40|3.45|4.85|1.29|62.00
2451722|56813|932|6966|15391|4423|2328|1|2|2921|11|319.00|9.57|328.57|30.24|79.75|239.25|35.88|43.87|119.56
2451738|55209|260|4572|35893|5200|4187|1|1|2921|5|185.90|3.71|189.61|53.25|348.55|37.18|77.33|71.39|405.51
2451221|52245|1675|7531|41207|650|3860|1|1|2922|10|144.90|11.59|156.49|86.52|3.20|115.92|1.73|27.25|101.31
2451567|51206|1549|9768|122237|2707|4650|1|2|2923|26|1343.68|26.87|1370.55|80.60|468.26|1142.12|8.06|193.50|575.73
2451694|39727|955|9768|136160|2946|965|1|1|2923|42|413.70|12.41|426.11|51.01|68.88|326.82|83.40|3.48|132.30
2452728|42834|1417|5528|26886|2084|562|1|2|2924|73|2065.90|0.00|2065.90|7.32|354.05|227.24|1544.47|294.19|361.37
2452678|55971|1189|5196|40563|2218|4433|1|3|2924|3|6.00|0.42|6.42|86.35|16.23|2.82|0.54|2.64|103.00
2451910|31041|1403|3834|123780|2206|592|1|2|2925|3|0.00|0.00|0.00|55.39|4.74|0.00|0.00|0.00|60.13
2451887|28875|1415|3088|188617|6128|4592|1|2|2925|46|48.30|0.48|48.78|62.68|217.58|19.32|11.01|17.97|280.74
2451838|39221|1339|3088|144437|1485|53|1|1|2925|14|329.14|16.45|345.59|45.30|93.52|256.72|11.58|60.84|155.27
2452205|36386|1575|7765|179006|3240|3201|1|3|2926|3|162.45|14.62|177.07|36.51|94.38|123.46|0.38|38.61|145.51
2451270|59273|385|4779|78807|4328|1856|1|1|2929|49|54.39|1.63|56.02|15.50|318.99|30.45|14.36|9.58|336.12
2451806|37839|203|1419|55461|1958|4008|1|2|2931|16|856.48|25.69|882.17|57.94|124.80|539.58|66.54|250.36|208.43
2451866|28828|1625|1419|169612|2188|3771|1|3|2931|21|838.53|33.54|872.07|45.04|276.36|679.20|41.42|117.91|354.94
2451964|37349|559|4497|54344|4511|2918|1|1|2931|22|24.64|0.73|25.37|6.98|246.40|16.50|1.95|6.19|254.11
2452690|41401|259|5449|93003|3277|3991|1|2|2932|12|506.88|35.48|542.36|8.27|402.96|202.75|170.31|133.82|446.71
2451113|37009|1754|2603|87960|504|4008|1|3|2933|8|106.48|4.25|110.73|8.75|130.16|43.65|33.92|28.91|143.16
2451566|32049|1210|1656|61748|3048|315|1|2|2934|1|30.37|0.60|30.97|31.55|1.12|26.11|0.76|3.50|33.27
2451568|52001|1328|1656|95234|3688|1822|1|1|2934|35|1816.15|127.13|1943.28|97.85|1816.15|1580.05|203.04|33.06|2041.13
2451927|48510|1351|4756|103976|4190|3491|1|1|2935|36|127.08|10.16|137.24|60.88|74.52|85.14|39.00|2.94|145.56
2452063|31110|273|7645|132600|2995|1470|1|1|2936|23|129.26|7.75|137.01|55.48|55.20|6.46|116.66|6.14|118.43
2451656|29646|1097|2773|19782|409|83|1|3|2938|1|25.63|1.79|27.42|11.81|48.57|0.00|19.22|6.41|62.17
2452226|46488|1099|378|106664|2846|3315|1|3|2939|64|3731.20|335.80|4067.00|51.20|1896.96|3283.45|161.19|286.56|2283.96
2452181|40866|1335|378|81086|1988|4297|1|2|2939|8|198.56|9.92|208.48|89.26|52.56|61.55|94.53|42.48|151.74
2451988|52886|305|6480|70473|6228|3870|1|3|2941|50|353.50|0.00|353.50|9.59|272.50|162.61|106.89|84.00|282.09
2451821|33249|349|2700|98816|532|3848|1|1|2945|19|2724.41|54.48|2778.89|36.26|616.17|1416.69|235.38|1072.34|706.91
