wr_returned_date_sk|wr_returned_time_sk|wr_item_sk|wr_refunded_customer_sk|wr_refunded_cdemo_sk|wr_refunded_hdemo_sk|wr_refunded_addr_sk|wr_returning_customer_sk|wr_returning_cdemo_sk|wr_returning_hdemo_sk|wr_returning_addr_sk|wr_web_page_sk|wr_reason_sk|wr_order_number|wr_return_quantity|wr_return_amt|wr_return_tax|wr_return_amt_inc_tax|wr_fee|wr_return_ship_cost|wr_refunded_cash|wr_reversed_charge|wr_account_credit|wr_net_loss
2451350|21492|151|2285|94700|1402|1737|2285|94700|1402|1737|1|3|881|1|12.05|0.48|12.53|70.29|28.93|9.03|1.11|1.91|99.70
2451208|61357|1636|7692|126557|2429|174|7692|126557|2429|174|4|3|881|65|4633.85|417.04|5050.89|65.32|441.35|3290.03|806.29|537.53|923.71
2452780|42668|1603|8650|90559|5475|3111|8650|90559|5475|3111|6|2|883|12|1163.52|81.44|1244.96|81.15|52.08|628.30|208.73|326.49|214.67
2452540|64432|915|9814|69802|3583|1644|9814|69802|3583|1644|1|3|884|57|7574.16|530.19|8104.35|69.51|2196.21|1969.28|2802.44|2802.44|2795.91
2452753|13693|111|3446|126527|5048|649|3446|126527|5048|649|3|2|884|44|1787.28|160.85|1948.13|20.75|27.72|268.09|197.49|1321.70|209.32
||97|670|103015||||103015|2160|3705|||884|44|2656.28|26.56|2682.84|4.75||||1329.48|
2452633|30921|1158|2041|34215|4069|2683|2041|34215|4069|2683|1|1|884|50|105.50|2.11|107.61|95.67|52.50|5.27|96.22|4.01|150.28
2452015|62260|1190|8034|114546|4851|1683|8034|114546|4851|1683|2|1|885|2|204.54|12.27|216.81|59.26|51.12|42.95|142.19|19.40|122.65
2452422|59345|1171|9103|189723|4696|1516|9103|189723|4696|1516|6|1|886|19|175.37|3.50|178.87|99.25|271.13|17.53|74.18|83.66|373.88
2452535|29503|3|6707|117722|6897|992|6707|117722|6897|992|1|3|886|42|2506.14|25.06|2531.20|86.25|616.14|1654.05|357.87|494.22|727.45
2451889|74957|653|5216|111149|1601|813|5216|111149|1601|813|1|1|889|9|126.72|1.26|127.98|35.98|30.69|67.16|29.78|29.78|67.93
2451936|44024|1033|7444|84525|4533|301|7444|84525|4533|301|1|3|889|15|2821.95|169.31|2991.26|14.28|1365.45|1975.36|567.21|279.38|1549.04
2451315|33493|787|4010|133159|4981|1290|4010|133159|4981|1290|2|3|890|6|30.96|0.00|30.96|78.13|3.12|2.16|19.00|9.80|81.25
2451935|23579|1109|5240|108866|4412|3998|5240|108866|4412|3998|1|3|891|28|140.00|2.80|142.80|60.28|805.56|121.80|4.73|13.47|868.64
2452922|47170|37|3961|100665|3849|3593|3961|100665|3849|3593|1|2|893|12|317.88|25.43|343.31|36.88|29.76|260.66|38.90|18.32|92.07
2452142|69522|1657|4758|29644|1443|3762|4758|29644|1443|3762|1|2|894|12|28.20|1.97|30.17|1.27|437.64|20.02|0.98|7.20|440.88
2452725|43572|390|1224|44321|6698|82|1224|44321|6698|82|1|2|895|19|1352.42|108.19|1460.61|38.37|1014.22|459.82|839.04|53.56|1160.78
2452827|34777|199|3935|92954|2951|2108|3935|92954|2951|2108|3|3|895|12|732.12|29.28|761.40|9.87|334.68|505.16|95.32|131.64|373.83
2452649|50788|168|5554|4741|2055|3082|5554|4741|2055|3082|1|1|896|32|120.00|1.20|121.20|13.04|900.48|90.00|0.90|29.10|914.72
2452826|42617|259|2608|176348|3658|848|2608|176348|3658|848|3|1|899|27|1524.15|45.72|1569.87|94.69|415.53|259.10|366.86|898.19|555.94
2452371|75452|607|2134|147709|84|1859|2134|147709|84|1859|5|2|901|40|2797.60|223.80|3021.40|47.19|580.40|2601.76|23.50|172.34|851.39
2451918|38304|860|2860|139972|2237|549|2860|139972|2237|549|2|2|903|9|96.48|3.85|100.33|59.81|125.46|45.34|37.33|13.81|189.12
2452166|9269|1273|8668|174078|3888|3098|8668|174078|3888|3098|1|1|904|48|9962.88|697.40|10660.28|52.28|2794.08|7970.30|159.40|1833.18|3543.76
2452307|70079|1653|8389|24629|4276|3243|8389|24629|4276|3243|1|3|904|7|6.02|0.42|6.44|43.90|9.66|0.72|3.44|1.86|53.98
2452296|65855|221|8366|181534|4877|4213|8366|181534|4877|4213|1|3|904|13|36.01|0.72|36.73|84.10|36.92|33.12|2.89|0.00|121.74
2452539|60220|1131|7429|144009|4509|1649|7429|144009|4509|1649|3|2|907|35|3542.35|247.96|3790.31|1.33|590.10|3471.50|46.76|24.09|839.39
2452427|40355|163|4023|156983|23|1023|4023|156983|23|1023|3|2|907|4|152.80|0.00|152.80|9.79|345.84|0.00|64.17|88.63|355.63
2451824|48089|734|952|101686|660|514|952|101686|660|514|2|1|909|25|1014.50|50.72|1065.22|21.35|2231.75|517.39|24.85|472.26|2303.82
2451924|22399|421|3634|4455|3483|3984|3634|4455|3483|3984|1|1|909|44|6388.80|191.66|6580.46|57.76|4762.56|191.66|3718.28|2478.86|5011.98
2452058|71949|1655|1603|36949|4135|3048|1603|36949|4135|3048|5|3|909|39|1491.36|134.22|1625.58|7.69|1255.80|193.87|973.11|324.38|1397.71
2451174|79226|1015|8657|62435|980|1765|8657|62435|980|1765|4|3|910|3|116.64|0.00|116.64|62.37|243.45|6.99|105.26|4.39|305.82
2450962|73572|232|4827|190740|7086|1592|4827|190740|7086|1592|2|1|910|20|489.20|4.89|494.09|80.65|34.80|430.49|45.79|12.92|120.34
2452245|42944|1099|8512|176962|5332|2742|8512|176962|5332|2742|3|1|912|78|3905.46|195.27|4100.73|62.26|5315.70|3241.53|99.58|564.35|5573.23
2452417|63682|935|959|184803|6487|251|959|184803|6487|251|1|1|913|11|435.49|26.12|461.61|76.72|487.30|265.64|13.58|156.27|590.14
2452395|64194|547|6549|48679|6122|4332|6549|48679|6122|4332|1|3|913|58|479.08|43.11|522.19|51.34|64.96|335.35|45.99|97.74|159.41
2451360|42568|895|7255|171501|1427|466|7255|171501|1427|466|2|2|915|56|1289.12|25.78|1314.90|37.76|4462.08|0.00|786.36|502.76|4525.62
2451356|26120|439|7268|739|5090|601|7268|739|5090|601|4|2|915|40|161.20|9.67|170.87|47.08|6.40|53.19|2.16|105.85|63.15
2451369|32382|622|8101|99551|3001|251|8101|99551|3001|251|2|3|918|1|9.19|0.36|9.55|48.34|0.31|2.48|0.93|5.78|49.01
2451349|74312|442|7841|84729|2544|519|7841|84729|2544|519|1|2|918|1|117.60|4.70|122.30|50.34|50.56|108.19|5.26|4.15|105.60
|30289|1312||13590|2702|247|6718|13590||247|||918||131.78|9.22|||60.32||||
2452677|37784|871|6464|167466|675|3804|6464|167466|675|3804|1|2|919|14|256.06|15.36|271.42|97.89|70.84|225.33|24.27|6.46|184.09
2452770|26668|973|6209|153257|4145|2066|6209|153257|4145|2066|1|2|919|6|172.14|0.00|172.14|70.34|253.14|118.77|46.43|6.94|323.48
2452835|31540|1617|1694|89413|1259|1465|1694|89413|1259|1465|1|2|919|29|677.44|60.96|738.40|75.21|643.51|60.96|400.71|215.77|779.68
2450940|28402|1072|4650|3651|3645|4766|4650|3651|3645|4766|4|2|920|14|196.98|11.81|208.79|99.50|63.00|118.18|48.85|29.95|174.31
2451040|19976|1645|695|72878|1654|3557|695|72878|1654|3557|4|1|920|47|2139.91|21.39|2161.30|25.15|369.89|834.56|1253.13|52.22|416.43
2452813|78086|18|4526|187306|6086|3866|4526|187306|6086|3866|6|2|921|12|384.48|26.91|411.39|30.09|56.52|30.75|307.74|45.99|113.52
2452795|57200|150|3581|117377|5540|3096|3581|117377|5540|3096|6|1|921|2|33.12|0.99|34.11|97.62|5.52|0.66|28.88|3.58|104.13
2452739|23267|649|3558|71280|6969|1498|3558|71280|6969|1498|3|2|921|52|9275.24|92.75|9367.99|39.39|915.72|2411.56|3775.02|3088.66|1047.86
2451246|42948|1237|7199|115612|5738|4631|7199|115612|5738|4631|1|3|923|43|7957.15|318.28|8275.43|67.20|491.06|6843.14|44.56|1069.45|876.54
2451243|61176|22|2328|5797|1059|1401|2328|5797|1059|1401|1|3|923|28|2609.60|0.00|2609.60|49.07|1669.92|2426.92|18.26|164.42|1718.99
2451155|41603|244|2990|136954|4565|4129|2990|136954|4565|4129|1|1|923|1|21.59|1.29|22.88|15.18|7.64|17.91|2.24|1.44|24.11
2451308|48567|1528|1560|147755|6190|4658|1560|147755|6190|4658|1|3|923|19|376.20|0.00|376.20|38.21|361.19|270.86|11.58|93.76|399.40
2451782|59271|614|855|191900|1378|1616|855|191900|1378|1616|2|2|924|14|311.22|9.33|320.55|25.92|72.80|152.49|14.28|144.45|108.05
2451718|55362|949|8509|131588|3274|633|8509|131588|3274|633|2|2|924|13|1034.28|72.39|1106.67|64.49|579.15|310.28|79.64|644.36|716.03
2451732|50303|248|9084|72132|2333|2534|9084|72132|2333|2534|5|3|924|4|196.28|7.85|204.13|44.05|127.80|105.99|87.58|2.71|179.70
2452595|20169|423|1906|155731|4798|2265|1906|155731|4798|2265|1|1|925|45|0.00|0.00|0.00|93.49|460.35|0.00|0.00|0.00|553.84
2452572|83910|504|4517|61941|1765|3789|4517|61941|1765|3789|6|3|925|27|1170.18|70.21|1240.39|15.68|1755.54|163.82|291.84|714.52|1841.43
2452621|12180|1224|2553|128423|1140|3210|2553|128423|1140|3210|6|2|928|41|1306.26|39.18|1345.44|66.19|180.40|1306.26|0.00|0.00|285.77
2452313|26556|457|2561|137941|154|374|2561|137941|154|374|5|2|929|14|2158.66|64.75|2223.41|46.55|1105.58|1165.67|59.57|933.42|1216.88
2452311|60860|935|3946|187567|735|903|3946|187567|735|903|3|3|930|5|73.90|2.95|76.85|40.85|136.15|18.47|14.41|41.02|179.95
2452497|25022|1081|2663|58970|5230|1337|2663|58970|5230|1337|3|1|930|23|310.96|12.43|323.39|11.78|2178.10|21.76|118.57|170.63|2202.31
2452055|54975|716|132|39987|4882|3704|132|39987|4882|3704|1|1|931|11|606.54|36.39|642.93|30.42|181.94|467.03|9.76|129.75|248.75
2451646|13365|460|437|134201|605|1289|437|134201|605|1289|2|3|935|1|101.32|0.00|101.32|6.26|50.66|7.09|44.28|49.95|56.92
2451684|66932|1357|9868|20165|1822|3846|9868|20165|1822|3846|2|2|935|15|347.10|31.23|378.33|33.10|123.30|183.96|96.25|66.89|187.63
2452384|35050|315|4707|90627|5347|1667|4707|90627|5347|1667|1|2|936|29|4061.16|40.61|4101.77|36.76|1654.45|1055.90|751.31|2253.95|1731.82
2451578|22215|1574|1780|103341|3222|96|1780|103341|3222|96|4|2|937|82|3401.36|102.04|3503.40|48.94|906.92|2721.08|149.66|530.62|1057.90
2451522|26279|934|4455|12821|5667|3273|4455|12821|5667|3273|1|1|937|2|102.52|4.10|106.62|47.70|56.08|17.42|38.29|46.81|107.88
2452717|65763|654|9898|44936|3734|299|9898|44936|3734|299|6|1|939|36|1812.60|126.88|1939.48|90.94|1244.16|888.17|776.52|147.91|1461.98
2452851|12590|1729|532|142703|3674|845|532|142703|3674|845|6|1|939|25|130.50|7.83|138.33|95.71|8.25|86.13|27.95|16.42|111.79
2452426|64927|39|365|57157|6382|1214|365|57157|6382|1214|3|1|940|71|2418.26|48.36|2466.62|44.28|1477.51|2273.16|10.15|134.95|1570.15
2452283|37058|913|2350|171440|4210|2093|2350|171440|4210|2093|5|2|940|45|130.50|9.13|139.63|64.97|1242.45|107.01|13.15|10.34|1316.55
2451251|40253|1186|8248|181098|2141|511|8248|181098|2141|511|2|1|941|5|704.85|28.19|733.04|17.75|204.60|528.63|81.06|95.16|250.54
2452500||1217|6791|79650|||||3469|3608||3|943|||0.00|||1342.61||||
2451560|73803|866|3699|154107|6755|2330|3699|154107|6755|2330|4|1|947|10|519.80|46.78|566.58|4.82|12.30|145.54|258.23|116.03|63.90
2452805|78759|1422|6393|48282|331|2100|6393|48282|331|2100|3|3|948|1|23.17|0.46|23.63|80.84|21.57|5.56|2.99|14.62|102.87
2451229|48122|631|1540|162425|590|915|1540|162425|590|915|2|3|949|5|305.00|6.10|311.10|30.83|463.15|91.50|130.23|83.27|500.08
2451376|47504|55|3975|88339|4336|4540|3975|88339|4336|4540|4|2|949|12|150.96|9.05|160.01|48.65|92.88|141.90|3.44|5.62|150.58
2451214|19590|502|9027|144037|6306|2008|9027|144037|6306|2008|1|3|949|31|127.41|2.54|129.95|72.45|44.02|73.89|14.98|38.54|119.01
2451241|9735|856|8451|46484|4390|3736|8451|46484|4390|3736|4|1|950|15|609.15|36.54|645.69|79.35|775.35|103.55|283.13|222.47|891.24
2452495|61256|601|6047|49717|1034|2304|6047|49717|1034|2304|1|3|951|63|11431.35|114.31|11545.66|32.86|6016.50|4115.28|2194.82|5121.25|6163.67
2451511|62579|530|6540|69175|2210|3845|6540|69175|2210|3845|4|3|953|24|3406.56|272.52|3679.08|62.14|389.28|1090.09|787.59|1528.88|723.94
2451459|67996|782|803|93559|1700|2121|803|93559|1700|2121|2|2|953|59|801.22|24.03|825.25|52.28|53.10|112.17|640.81|48.24|129.41
2451447|79925|1118|4764|105655|5859|630|4764|105655|5859|630|4|2|953|40|40.80|2.44|43.24|86.12|102.40|27.74|10.57|2.49|190.96
2451367|48875|1222|9874|146208|3022|4396|9874|146208|3022|4396|1|1|953|17|3527.84|70.55|3598.39|39.99|1865.24|352.78|444.50|2730.56|1975.78
2452464|36223|71|6867|114574|3161|3261|6867|114574|3161|3261|5|2|955|36|7487.64|374.38|7862.02|3.23|822.60|673.88|3270.60|3543.16|1200.21
2451917|26463|1478|3973|85604|1748|2259|3973|85604|1748|2259|1|1|956|32|551.36|44.10|595.46|89.65|551.36|220.54|271.27|59.55|685.11
2451930|38189|1214|9038|73176|2081|1379|9038|73176|2081|1379|1|2|956|45|15.75|0.31|16.06|27.61|150.75|9.76|4.79|1.20|178.67
2451868|38863|1439|5170|109053|4263|2386|5170|109053|4263|2386|5|3|956|58|2901.16|145.05|3046.21|68.59|1838.60|29.01|1723.29|1148.86|2052.24
2452147|32251|821|1288|136174|3380|3626|1288|136174|3380|3626|1|1|957|28|2430.12|48.60|2478.72|85.02|794.36|437.42|617.73|1374.97|927.98
2451058|33913|1274|402|54439|3916|3473|402|54439|3916|3473|4|2|959|1|47.74|4.29|52.03|56.95|54.25|3.81|25.91|18.02|115.49
2451134|78758|349|7102|142489|4276|4863|7102|142489|4276|4863|2|2|959|1|1.09|0.01|1.10|45.49|7.09|1.05|0.03|0.01|52.59
2451299|13912|1724|9640|84873|2746|2946|9640|84873|2746|2946|2|3|959|72|1990.80|39.81|2030.61|85.93|924.48|1473.19|170.81|346.80|1050.22
2450940|27039|163|4748|91458|521|1031|4748|91458|521|1031|4|3|960|14|633.08|50.64|683.72|89.46|223.86|297.54|33.55|301.99|363.96
2451228|64612|967|6778|149520|3782|3484|6778|149520|3782|3484|4|2|960|22|1480.60|29.61|1510.21|45.37|506.44|74.03|210.98|1195.59|581.42
2451017|50575|1178|2719|163384|3522|1147|2719|163384|3522|1147|4|2|960|39|379.86|0.00|379.86|87.51|432.90|254.50|12.53|112.83|520.41
2452099|70833|1562|9304|156147|2598|729|9304|156147|2598|729|1|2|961|13|1081.86|64.91|1146.77|66.39|324.48|876.30|141.83|63.73|455.78
2451816|40162|887|6788|102156|1891|1219|6788|102156|1891|1219|5|1|964|5|431.60|12.94|444.54|41.51|184.15|254.64|67.24|109.72|238.60
2451312|15186|160|7013|3777|1901|2145|7013|3777|1901|2145|1|1|965|19|2522.82|126.14|2648.96|79.53|1141.90|1261.41|201.82|1059.59|1347.57
2451411|54480|397|9644|122412|3020|508|9644|122412|3020|508|4|1|965|37|4636.84|231.84|4868.68|8.42|1738.63|1669.26|2641.14|326.44|1978.89
2451377|59678|1525|9855|104423|1998|3493|9855|104423|1998|3493|4|2|966|78|793.26|39.66|832.92|31.74|434.46|531.48|15.70|246.08|505.86
2451384|78373|1006|2316|123505|2087|3749|2316|123505|2087|3749|2|2|966|48|7842.24|156.84|7999.08|22.03|4455.84|3450.58|2547.16|1844.50|4634.71
2451807|40295|158|4745|168854|1843|2992|4745|168854|1843|2992|2|2|968|91|3797.43|189.87|3987.30|10.17|1603.42|1594.92|1497.70|704.81|1803.46
2451610|22616|380|4186|1791|6790|2756|4186|1791|6790|2756|4|3|968|42|1840.44|73.61|1914.05|96.58|440.16|515.32|1046.84|278.28|610.35
2451801|56655|1171|9556|98759|5435|3551|9556|98759|5435|3551|1|1|971|20|742.40|37.12|779.52|81.10|601.60|118.78|486.42|137.20|719.82
2451622|42015|1687|8306|178658|7043|1788|8306|178658|7043|1788|4|2|971|3|192.60|5.77|198.37|36.00|37.98|173.34|11.36|7.90|79.75
2451695|59878|1135|742|133236|6130|471|742|133236|6130|471|1|1|973|5|141.35|8.48|149.83|55.43|303.90|76.32|29.26|35.77|367.81
2451688|36856|334|||6488||1087|115491|6488|3565|2|2|973|23|846.40||922.57||205.16|||13.63|
2451762|43206|439|7990|173765|6467|3882|7990|173765|6467|3882|1|1|976|10|277.20|19.40|296.60|61.22|392.70|232.84|5.32|39.04|473.32
2451805|45343|1058|4130|177819|4915|4284|4130|177819|4915|4284|1|1|976|46|1751.68|0.00|1751.68|72.26|3194.70|1453.89|223.34|74.45|3266.96
2451829|67060|844|5370|121536|3702|1068|5370|121536|3702|1068|2|1|976|28|1237.04|98.96|1336.00|94.17|288.12|766.96|441.87|28.21|481.25
2452277|80968|581|4444|40159|674|1589|4444|40159|674|1589|3|2|977|23|302.22|3.02|305.24|25.74|136.16|302.22|0.00|0.00|164.92
2452387|26103|183|3493|15668|6963|2298|3493|15668|6963|2298|5|3|977|8|1460.64|43.81|1504.45|13.94|146.00|1256.15|100.20|104.29|203.75
2451177|78069|1552|1684|3596|275|1594|1684|3596|275|1594|2|3|979|73|2730.93|191.16|2922.09|93.57|394.20|1829.72|18.02|883.19|678.93
2451791|40685|154|8449|61469|4042|862|8449|61469|4042|862|1|3|980|61|286.70|22.93|309.63|24.76|3442.84|180.62|96.53|9.55|3490.53
2451574|64346|488|4243|6761|6559|3270|4243|6761|6559|3270|1|3|980|1|24.20|2.17|26.37|49.25|13.54|14.03|4.27|5.90|64.96
2451613|67114|721|2311|185474|6750|4593|2311|185474|6750|4593|1|3|980|37|2881.93|259.37|3141.30|86.63|485.07|979.85|266.29|1635.79|831.07
|72285|590|9079|86411|5740|1429|9079|||||3|980|32||||35.23||1327.62||364.98|486.05
2452796|20500|735|1537|99578|1299|2980|1537|99578|1299|2980|3|3|982|4|211.20|6.33|217.53|88.69|76.80|209.08|0.78|1.34|171.82
2451539|43417|932|5682|109803|4371|2492|5682|109803|4371|2492|1|2|985|43|3270.58|228.94|3499.52|78.75|1243.56|2256.70|699.57|314.31|1551.25
2452701|73247|933|4921|49972|1949|2526|4921|49972|1949|2526|1|1|986|6|1029.60|51.48|1081.08|12.64|31.80|813.38|203.24|12.98|95.92
|63598|1591||95784|458|3452||95784|458||||986|10|121.90|3.65|125.55|||||77.40|
2452640|66650|337|1858|44054|4810|3333|1858|44054|4810|3333|1|1|986|26|13.26|0.79|14.05|4.97|17.94|9.14|3.25|0.87|23.70
2452398|70513|1097|1078|147027|2223|2019|1078|147027|2223|2019|5|2|987|37|607.17|18.21|625.38|20.16|156.14|157.86|179.72|269.59|194.51
2452469|64014|879|5291|80867|2283|3979|5291|80867|2283|3979|3|2|987|14|18.62|0.37|18.99|46.88|267.54|8.00|2.76|7.86|314.79
2452253|14249|701|5171|177902|2873|3571|5171|177902|2873|3571|3|3|988|4|343.12|0.00|343.12|78.97|199.36|164.69|69.58|108.85|278.33
2452648|77140|1245|1766|152038|1143|4255|1766|152038|1143|4255|1|3|989|17|2487.10|198.96|2686.06|21.52|414.46|1740.97|678.97|67.16|634.94
2452762|25477|1614|295|5922|4702|1929|295|5922|4702|1929|1|1|989|23|847.32|50.83|898.15|20.85|105.80|550.75|237.25|59.32|177.48
2451816|21944|1528|9073|174002|531|4813|9073|174002|531|4813|1|3|990|43|1295.59|90.69|1386.28|58.50|184.90|272.07|1003.04|20.48|334.09
2451601|22596|1123|5503|191637|1771|2305|5503|191637|1771|2305|2|1|990|9|219.60|19.76|239.36|65.89|73.17|144.93|5.97|68.70|158.82
2451685|45443|205|2063|165808|3633|3371|2063|165808|3633|3371|1|1|990|13|2089.88|188.08|2277.96|53.35|992.16|940.44|781.61|367.83|1233.59
2451708|21658|1711|3368|13434|2060|3206|3368|13434|2060|3206|2|2|990|50|2300.50|92.02|2392.52|69.94|1058.00|1610.35|676.34|13.81|1219.96
2451357|58012|1586|7747|177639|491|3863|7747|177639|491|3863|4|1|992|6|40.56|3.65|44.21|71.96|466.98|31.63|6.16|2.77|542.59
2451526|45391|848|9751|10690|5982|4921|9751|10690|5982|4921|1|2|992|22|137.72|11.01|148.73|86.03|172.26|24.78|6.77|106.17|269.30
2451435|68091|616|911|167000|5409|658|911|167000|5409|658|1|3|992|23|2923.30|116.93|3040.23|62.87|560.97|146.16|1527.42|1249.72|740.77
2451888|78918|1075|7224|23286|6228|3130|7224|23286|6228|3130|2|2|993|11|862.40|77.61|940.01|96.96|235.18|784.78|65.20|12.42|409.75
2451875|81346|547|6895|165178|821|3431|6895|165178|821|3431|1|1|993|5|196.95|11.81|208.76|10.56|49.20|133.92|28.99|34.04|71.57
2451963|33540|641|9051|75003|1195|467|9051|75003|1195|467|2|3|994|58|6152.06|246.08|6398.14|30.88|748.20|861.28|687.80|4602.98|1025.16
2451884|60896|943|5675|64336|4564|3585|5675|64336|4564|3585|1|3|994|2|8.70|0.60|9.30|25.01|12.90|8.70|0.00|0.00|38.51
2452141|31316|1435|4080|127787|1254|3841|4080|127787|1254|3841|5|2|995|17|1422.05|14.22|1436.27|94.55|45.22|725.24|571.38|125.43|153.99
2451831|61400|773|5519|138542|1725|4275|5519|138542|1725|4275|5|3|996|4|74.92|2.24|77.16|65.94|117.12|32.96|19.30|22.66|185.30
|13300|1141|5444|34009|4656|3296|5444|34009|4656|3296|5||996|27||104.72|1600.79||1059.75||||
2451937|66182|1297|7189|125120|571|109|7189|125120|571|109|2|1|996|18|235.62|2.35|237.97|57.41|76.50|186.13|19.30|30.19|136.26
2452006|40390|980|2353|61338|1683|3148|2353|61338|1683|3148|1|2|996|6|527.22|5.27|532.49|18.09|36.78|527.22|0.00|0.00|60.14
2451404|25149|1735|8||4875|3132||165498||3132|2||997|31|||||800.42||||
2451453|71197|1567|5704|17101|305|2829|5704|17101|305|2829|2|2|998|10|2034.10|101.70|2135.80|69.43|466.10|488.18|865.71|680.21|637.23
2451457||152||50924|3180||6475|50924|3180|||1|998|27|332.10|6.64||58.99|412.56||94.38||
2451441|12755|703|2142|98970|4085|4233|2142|98970|4085|4233|1|3|998|4|129.88|5.19|135.07|72.64|43.28|32.47|92.53|4.88|121.11
2452742|45658|342|8182|159729|5356|3143|8182|159729|5356|3143|3|2|999|52|541.84|10.83|552.67|34.17|19.24|265.50|229.36|46.98|64.24
2452794|36277|409|9857|139148|3112|763|9857|139148|3112|763|6|3|999|81|3084.48|215.91|3300.39|11.73|802.71|2560.11|372.30|152.07|1030.35
2451411|5244|1075|2195|94659|276|2493|2195|94659|276|2493|4|2|1000|4|670.76|20.12|690.88|90.81|228.20|496.36|61.04|113.36|339.13
2451339|37260|889|2253|75570|4694|2291|2253|75570|4694|2291|1|1|1000|10|1199.50|59.97|1259.47|53.61|614.40|635.73|484.84|78.93|727.98
2451348|36212|368|1323|158639|1475|551|1323|158639|1475|551|1|2|1000|77|1590.05|15.90|1605.95|26.86|993.30|492.91|383.99|713.15|1036.06
2451770|50042|1718|8555|1903|5938|2006|8555|1903|5938|2006|4|1|1001|18|1274.94|38.24|1313.18|9.06|811.26|1019.95|155.54|99.45|858.56
2451777|39059|241|9821|73380|2412|1931|9821|73380|2412|1931|1|3|1001|10|65.70|0.00|65.70|12.53|237.50|39.42|18.39|7.89|250.03
2452891|48228|105|6074|171418|4362|4706|6074|171418|4362|4706|1|1|1003|33|862.95|77.66|940.61|1.88|69.96|198.47|279.08|385.40|149.50
2452836|64308|925|6133|95751|5849|2707|6133|95751|5849|2707|1|2|1003|54|1160.46|104.44|1264.90|59.17|1793.88|1114.04|27.85|18.57|1957.49
2452769|29155|535|2651|8529|2887|4758|2651|8529|2887|4758|6|3|1004|12|821.28|49.27|870.55|59.65|638.76|566.68|106.93|147.67|747.68
2452725|47126|810|7894|191601|6301|2328|7894|191601|6301|2328|3|2|1004|38|3440.14|275.21|3715.35|62.07|1146.46|2683.30|355.71|401.13|1483.74
2452901|24772|139|1623|88571|5999|187|1623|88571|5999|187|6|2|1004|58|1165.22|81.56|1246.78|35.69|191.98|710.78|249.94|204.50|309.23
2452437|75397|1617|7058|10992|2333|3794|7058|10992|2333|3794|5|3|1006|18|3050.46|91.51|3141.97|33.22|568.62|884.63|823.01|1342.82|693.35
2452267|47334|1265|6152|146285|7041|3197|6152|146285|7041|3197|3|2|1006|20|32.40|2.26|34.66|71.17|113.60|10.69|18.67|3.04|187.03
2451141|47556|1546|8892|40262|5199|729|8892|40262|5199|729|1|2|1007|14|1848.56|36.97|1885.53|19.49|233.38|1571.27|83.18|194.11|289.84
2451599|55385|956|2482|158462|442|3975|2482|158462|442|3975|1|3|1008|11|881.76|35.27|917.03|41.38|287.32|493.78|197.86|190.12|363.97
2451768|42413|605|2078|130201|5411|3454|2078|130201|5411|3454|1|1|1008|14|300.16|9.00|309.16|37.34|65.24|48.02|108.42|143.72|111.58
2451705|37733|1346|7422|181089|563|4157|7422|181089|563|4157|2|2|1008|14|1511.30|60.45|1571.75|29.42|186.76|45.33|557.06|908.91|276.63
2451710|43967|1405|7697|7200|4863|4246|7697|7200|4863|4246|2|1|1008|10|968.90|38.75|1007.65|88.89|458.90|135.64|324.97|508.29|586.54
2452356|65443|1737|5008|34854|3980|4666|5008|34854|3980|4666|3|3|1010|48|2151.84|150.62|2302.46|35.76|0.00|1011.36|171.07|969.41|186.38
2452301|74396|1747|7484|179299|4921|1616|7484|179299|4921|1616|5|1|1010|11|512.05|30.72|542.77|94.27|144.21|404.51|45.16|62.38|269.20
2451611|12480|1172|4197|116253|5669|4358|4197|116253|5669|4358|2|1|1012|38|3571.62|142.86|3714.48|76.56|356.82|2392.98|1037.20|141.44|576.24
2451754|54066|404|4140|105881|4902|1283|4140|105881|4902|1283|4|1|1012|4|177.96|14.23|192.19|98.40|131.68|16.01|35.62|126.33|244.31
2451721|75110|418|6779|182144|229|4601|6779|182144|229|4601|4|3|1013|27|480.33|33.62|513.95|97.40|222.48|168.11|277.87|34.35|353.50
2451256|47401|704|6302|131168|3234|4547|6302|131168|3234|4547|1|2|1014|15|1986.60|158.92|2145.52|37.09|854.70|139.06|1478.03|369.51|1050.71
2451250|24845|1228|8486|51860|754|888|8486|51860|754|888|1|2|1014|3|275.22|24.76|299.98|71.19|97.83|126.60|8.91|139.71|193.78
2452603|32482|657|8953|41571|1662|3793|8953|41571|1662|3793|3|3|1015|39|2587.26|155.23|2742.49|25.40|599.04|1474.73|589.64|522.89|779.67
|69533|1327|9833|131372|4191||9833|131372||||3|1015|4|||219.68||64.72|142.79||33.84|116.29
2452652|16273|1461|7860|108627|3921|528|7860|108627|3921|528|6|3|1015|1|54.53|0.54|55.07|66.81|13.47|39.80|7.80|6.93|80.82
2452391|75420|37|1359|134924|1896|1341|1359|134924|1896|1341|6|1|1016|3|56.16|1.12|57.28|98.50|7.02|39.31|10.61|6.24|106.64
2452550|41735|870|7439|3261|2283|952|7439|3261|2283|952|3|2|1016|11|750.31|0.00|750.31|39.99|445.83|622.75|24.23|103.33|485.82
2452075|77594|59|9987|69867|260|1020|9987|69867|260|1020|1|2|1018|43|388.29|23.29|411.58|53.80|1262.05|260.15|46.13|82.01|1339.14
